Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,136500,141000,136500,140000,139835.5469,867012
2017-12-04,140500,143000,138500,139500,139336.1406,481190
2017-12-05,139000,141000,134000,140500,140334.9688,779716
2017-12-06,139500,143000,138000,138000,137837.9063,470275
2017-12-07,138000,139000,133000,135500,135340.8438,813930
2017-12-08,137000,140500,137000,138500,138337.3125,565316
2017-12-11,140500,140500,138000,140000,139835.5469,284302
2017-12-12,139500,143500,138000,141000,140834.375,445846
2017-12-13,141000,142000,138500,141000,140834.375,283499
2017-12-14,142000,145000,142000,144000,143830.8594,639895
2017-12-15,144500,145000,142000,142500,142332.6094,345053
2017-12-18,138000,139500,133500,134500,134342.0156,1462446
2017-12-19,133500,136500,131500,135500,135340.8438,681961
2017-12-21,134000,134000,129000,129000,128848.4766,717635
2017-12-22,128000,130500,126500,129500,129347.8828,586870
2017-12-26,130500,130500,125000,126000,125852,737536
2017-12-27,130000,140000,129500,139500,139500,1561744
2017-12-28,139500,141500,134500,137000,137000,948214
2018-01-03,150500,151000,145500,149000,149000,1154361
2018-01-04,152500,159000,149500,156000,156000,2265019
2018-01-05,157000,158000,152000,156000,156000,1067202
2018-01-08,160500,162500,158000,159500,159500,1577403
2018-01-09,158000,160000,154500,157000,157000,1010891
2018-01-10,156000,158500,148000,149500,149500,1656798
2018-01-11,142000,146500,138000,140500,140500,2474827
2018-01-12,145500,145500,139000,140500,140500,1377402
2018-01-15,141500,147500,141500,145000,145000,1265024
2018-01-16,144500,145000,140000,140500,140500,1117873
2018-01-17,139000,139000,133000,134000,134000,2415858
2018-01-18,134500,138500,134000,135500,135500,1965579
2018-01-19,136000,139000,134000,138000,138000,1132433
2018-01-22,138000,139000,135000,135500,135500,815041
2018-01-23,135500,138000,135000,136500,136500,965243
2018-01-24,136500,138000,134500,135000,135000,760888
